Timestamp (ns),Timestamp2,I,Q
2024-11-17 11:03:08.349143629,.015,-0.00171,-0.00137
2024-11-17 11:03:08.349143639,.848,-0.00154,0.000166
2024-11-17 11:03:08.349143650,.681,0.00137,-0.000509
2024-11-17 11:03:08.349143661,.514,0.000343,-0.00137
2024-11-17 11:03:08.349143672,.347,0.000686,0.000343
2024-11-17 11:03:08.349143683,.180,-0.00051,0.00154
2024-11-17 11:03:08.349143694,.013,0.000343,-1.05e-07
2024-11-17 11:03:08.349143704,.846,-0.000343,0.000685
2024-11-17 11:03:08.349143715,.679,-0.0024,-0.000167
2024-11-17 11:03:08.349143726,.512,0.000167,0.00103
2024-11-17 11:03:08.349143737,.345,0.00051,0.000167
2024-11-17 11:03:08.349143748,.178,0.000167,-0.000166
2024-11-17 11:03:08.349143759,.011,-0.000852,0.000167
2024-11-17 11:03:08.349143769,.844,0.000852,-0.000852
2024-11-17 11:03:08.349143780,.677,-0.000343,-0.00137
2024-11-17 11:03:08.349143791,.510,-0.000167,0.000509
2024-11-17 11:03:08.349143802,.343,-0.000853,0.000509
2024-11-17 11:03:08.349143813,.176,-0.00222,-0.00051
2024-11-17 11:03:08.349143824,.009,0.00137,0.00103
2024-11-17 11:03:08.349143834,.842,4.19e-07,-0.000509
2024-11-17 11:03:08.349143845,.675,-0.00171,-0.000686
2024-11-17 11:03:08.349143856,.508,0.000509,-0.000342
2024-11-17 11:03:08.349143867,.341,0.000852,0.000167
2024-11-17 11:03:08.349143878,.174,0.000166,0.000167
2024-11-17 11:03:08.349143889,.007,-0.0012,-0.000167
2024-11-17 11:03:08.349143899,.840,-0.0012,0.000343
2024-11-17 11:03:08.349143910,.673,-0.000509,0.00137
2024-11-17 11:03:08.349143921,.506,-0.000166,0.000686
2024-11-17 11:03:08.349143932,.339,-0.00188,0.0012
2024-11-17 11:03:08.349143943,.172,2.15e-07,0.00103
2024-11-17 11:03:08.349143954,.005,0.000343,0.0012
2024-11-17 11:03:08.349143964,.838,-0.000167,2.62e-07
2024-11-17 11:03:08.349143975,.671,-4.23e-07,-0.000343
2024-11-17 11:03:08.349143986,.504,0.000852,-2.93e-07
2024-11-17 11:03:08.349143997,.337,0.000343,-0.000343
2024-11-17 11:03:08.349144008,.170,-0.000686,0.00154
2024-11-17 11:03:08.349144019,.003,-0.000685,-0.00051
2024-11-17 11:03:08.349144029,.836,-0.00103,-0.000509
2024-11-17 11:03:08.349144040,.669,0.00137,-0.000166
2024-11-17 11:03:08.349144051,.502,-1.48e-07,0.00103
2024-11-17 11:03:08.349144062,.335,0.00119,0.000686
2024-11-17 11:03:08.349144073,.168,0.000166,-0.000343
2024-11-17 11:03:08.349144084,.001,-2.51e-07,-3.41e-07
2024-11-17 11:03:08.349144094,.834,-0.000343,0.00137
2024-11-17 11:03:08.349144105,.667,-0.00171,-0.000686
2024-11-17 11:03:08.349144116,.500,-0.00137,0.00171
2024-11-17 11:03:08.349144127,.333,-0.000686,0.00051
2024-11-17 11:03:08.349144138,.166,0.000852,0.000686
2024-11-17 11:03:08.349144148,.999,-0.00051,0.000167
2024-11-17 11:03:08.349144159,.832,0.00119,0.000853
2024-11-17 11:03:08.349144170,.665,0.00103,0.000509
2024-11-17 11:03:08.349144181,.498,-0.000686,-0.00051
2024-11-17 11:03:08.349144192,.331,-0.000686,0.000685
2024-11-17 11:03:08.349144203,.164,-0.000343,-0.000343
2024-11-17 11:03:08.349144213,.997,0.0012,-0.00137
2024-11-17 11:03:08.349144224,.830,2.84e-07,0.000167
2024-11-17 11:03:08.349144235,.663,-0.000343,0.00103
2024-11-17 11:03:08.349144246,.496,-0.00137,0.000686
2024-11-17 11:03:08.349144257,.329,-0.000167,0.000686
2024-11-17 11:03:08.349144268,.162,-0.00051,-0.000167
2024-11-17 11:03:08.349144278,.995,-0.000167,0.000343
2024-11-17 11:03:08.349144289,.828,-0.000686,-0.000343
2024-11-17 11:03:08.349144300,.661,-0.000166,-0.0012
2024-11-17 11:03:08.349144311,.494,-0.000852,1.21e-07
2024-11-17 11:03:08.349144322,.327,0.00051,-0.000685
2024-11-17 11:03:08.349144333,.160,-0.000852,-0.00119
2024-11-17 11:03:08.349144343,.993,0.000343,0.00103
2024-11-17 11:03:08.349144354,.826,-0.00051,-0.000343
2024-11-17 11:03:08.349144365,.659,-0.000853,-0.00103
2024-11-17 11:03:08.349144376,.492,-0.000167,-4.2e-07
2024-11-17 11:03:08.349144387,.325,0.0012,-0.00206
2024-11-17 11:03:08.349144398,.158,-0.000509,0.0012
2024-11-17 11:03:08.349144408,.991,-0.000166,-0.000509
